,symbol,displaySymbol,name,slug,logo,temporaryDataDelay,price,percentage,percentage_1h,percentage_7d,changeValue,marketCap,volume,FullCount,rank,Status,market_cap_percent_change_1d,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%,ticker
25,wrapped-eeth,weeth,Wrapped eETH,wrapped-eeth-weeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,False,2693.81,-0.028709030871941238,-0.015654138967506948,-0.0027056938013332093,-79.63999999999987,4011521108,40329135.0,,26,active,-0.03206633167836569,4.11685,-0.24685000000000024,-6.378552971576233,-51.540195341848225,WEETH/USDT
26,kaspa,kas,Kaspa,kaspa-kas,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,False,0.159901,-0.04143283295419756,-0.006246972764192173,-0.011757134724387918,-0.0069029999999999925,3915393338,48413633.0,,27,active,-0.04085047909699299,0.169536,-0.009076,-5.656238314844822,17.03865791393143,KAS/USDT
27,matic-network,matic,Polygon,polygon-matic,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,False,0.417674,0.01269155635366493,-0.007649764330241752,-0.0011919207875293455,0.005230000000000012,3877758901,158787698.0,,28,active,0.012464500642026607,0.425995,-0.004495000000000027,-1.0664294187425922,-41.71736725663717,MATIC/USDT
28,internet-computer,icp,Internet Computer,internet-computer-icp,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,False,7.0,-0.03434065934065934,-0.01267605633802815,-0.005657708628005662,-0.25,3283409473,65214923.0,,29,active,-0.03919089610969393,7.475149999999999,-0.4511499999999993,-6.422978359908874,-45.219154578068945,ICP/USDT
29,ethena-usde,usde,Ethena USDe,ethena-usde-usde,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,False,0.999043,-0.00036745822040084604,1.802065166677261e-05,-0.0016140000000000043,-0.0003670000000000062,3082444497,33182377.0,,30,active,-0.0019635423328541696,7.475149999999999,-0.4511499999999993,-6.422978359908874,-45.219154578068945,USDE/USDT
30,pepe,pepe,Pepe,pepe-pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,False,7.21e-06,-0.038512616201859196,-0.0177111716621254,-0.11165644171779138,-2.8999999999999976e-07,3032170514,565579664.0,,31,active,-0.044446292885891234,8.2125e-06,-9.624999999999997e-07,-13.275862068965512,-45.81464872944694,PEPE/USDT
31,monero,xmr,Monero,monero-xmr,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,False,154.92,0.018585885309875008,0.00958528951486697,0.027762947143619838,2.8100000000000023,2857260759,68472677.0,,32,active,0.025043083504420263,8.2125e-06,-9.624999999999997e-07,-13.275862068965512,-45.81464872944694,XMR/USDT
32,aptos,apt,Aptos,aptos-apt,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,False,5.82,-0.006825938566552906,-0.016863406408094375,-0.029999999999999954,-0.040000000000000036,2818820032,173139086.0,,33,active,-0.003436567724482042,5.9025,-0.022499999999999964,-0.38265306122448917,-34.66666666666667,APT/USDT
33,stellar,xlm,Stellar,stellar-xlm,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,False,0.094258,-0.010918108928890412,-0.005391375908673653,-0.059972635300462374,-0.0010389999999999983,2776968148,45677718.0,,34,active,-0.008798522074732003,0.09648999999999999,-0.001689999999999997,-1.7827004219409253,-14.363143631436323,XLM/USDT
34,ethereum-classic,etc,Ethereum Classic,ethereum-classic-etc,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,False,18.67,-0.013749338974087867,-0.011646373742720956,-0.004271222637480077,-0.26000000000000156,2770280775,69362351.0,,35,active,-0.01267546322278341,19.186500000000002,-0.42650000000000077,-2.2734541577825196,-38.248847926267274,ETC/USDT
35,first-digital-usd,fdusd,First Digital USD,first-digital-usd-fdusd,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,False,1.003,-0.017419740777666934,0.0026206221651202473,-0.018398406374502036,-0.017471999999999932,2345520941,2293811458.0,,36,active,-0.0006495668692412365,0.9995249999999999,0.0005750000000001032,0.057494250574952825,0.10009008107296576,FDUSD/USDT
36,crypto-com-chain,cro,Cronos,cronos-cro,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,False,0.084222,-0.04455664104508864,-0.010895471569628853,-0.03489874561192868,-0.003935999999999995,2265139997,5406522.0,,37,active,-0.047477198736785735,0.9995249999999999,0.0005750000000001032,0.057494250574952825,0.10009008107296576,CRO/USDT
37,okb,okb,OKB,okb-okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,False,36.67,-0.02161152614727842,-0.012122844827586092,0.013823610727121923,-0.8099999999999952,2200308515,2934491.0,,38,active,-0.020863953818627906,0.9995249999999999,0.0005750000000001032,0.057494250574952825,0.10009008107296576,OKB/USDT
38,sui,sui,Sui,sui-sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,False,0.821916,-0.01726181894868272,-0.012679520405821591,-0.10037127282008104,-0.014487999999999945,2134861742,245698382.0,,39,active,-0.01789421357402094,0.7762849999999999,0.0534150000000001,6.437869109316632,-24.920821645099988,SUI/USDT
39,blockstack,stx,Stacks,stacks-stx,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,False,1.41,-0.047619047619047665,-0.007042253521126767,-0.014084507042253534,-0.07000000000000006,2087100834,43729303.0,,40,active,-0.04342847998556414,1.4593,-0.05130000000000012,-3.6434659090909176,-31.733333333333334,STX/USDT
40,filecoin,fil,Filecoin,filecoin-fil,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,False,3.56,0.0,-0.008356545961002732,-0.008356545961002732,0.0,2059910303,84689933.0,,41,active,-0.0005895555748003812,3.65715,-0.07414999999999994,-2.0694948367289965,-41.43510951291272,FIL/USDT
41,fetch-ai,fet,Artificial Superintelligence Alliance,fetch.ai-fet,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,False,0.809918,-0.03411642976688296,-0.01517934306312051,-0.05234559295649627,-0.02861999999999998,2041813637,110641447.0,,42,active,-0.034713816957599467,0.8960000000000001,-0.08100000000000018,-9.938650306748489,-67.8944258420327,FET/USDT
42,bittensor,tao,Bittensor,bittensor-tao,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,False,278.04,-0.015848923402753297,-0.020052156752184937,-0.04192295797395275,-4.490000000000009,2014122963,66393517.0,,43,active,-0.02689967178619553,273.53499999999997,7.065000000000055,2.517818959372792,-37.113402061855666,TAO/USDT
43,mantle,mnt,Mantle,mantle-mnt,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,False,0.586885,-0.034402042492670704,-0.015654132284801836,-0.039859496583986215,-0.020899,1916710377,79034493.0,,44,active,-0.036051321928935884,273.53499999999997,7.065000000000055,2.517818959372792,-37.113402061855666,MNT/USDT
44,hedera-hashgraph,hbar,Hedera,hedera-hbar,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,False,0.052729,-0.008229520573801413,0.0021924021924021554,-0.02852811211566555,-0.0004359999999999989,1900444613,39609061.0,,45,active,-0.003946097968782026,0.05532,-0.001919999999999998,-3.5955056179775244,-52.8684907325684,HBAR/USDT
45,vechain,vet,VeChain,vechain-vet,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,False,0.02251003,0.0008787311016056531,-0.001470400063048718,-0.02394898685210703,1.974000000000073e-05,1825590309,16261483.0,,46,active,0.0030870012485845573,0.023205499999999997,-0.0005154999999999986,-2.2719259585720524,-36.74379704488431,VET/USDT
46,maker,mkr,Maker,maker-mkr,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,False,1914.21,-0.03039295118493011,-0.012780410253233811,-0.010316631692113687,-60.01999999999998,1780642965,50473725.0,,47,active,-0.03308268283747535,2094.15,-180.1500000000001,-9.412225705329158,-34.942216179469746,MKR/USDT
47,cosmos,atom,Cosmos Hub,cosmos-hub-atom,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,False,4.54,-0.01727861771058317,-0.00873362445414848,-0.09181636726546906,-0.08000000000000007,1775376854,212933932.0,,48,active,-0.019608649762287256,4.975,-0.4159999999999995,-9.12480807194559,-46.74687536502745,ATOM/USDT
48,arbitrum,arb,Arbitrum,arbitrum-arb,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,False,0.529272,-0.03441745108137823,-0.014639438464859314,-0.06937073473835044,-0.018845,1767985961,153442303.0,,49,active,-0.03300300849428224,0.5612600000000001,-0.030260000000000065,-5.69868173258005,-53.47410847279418,ARB/USDT
49,injective-protocol,inj,Injective,injective-inj,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,False,17.61,-0.051982851018220734,-0.015083798882681541,-0.04943578721117669,-0.9699999999999989,1720934748,74592240.0,,50,active,-0.05732999802908768,18.307499999999997,-0.5574999999999974,-3.140845070422521,-34.93401759530792,INJ/USDT
50,render-token,render,Render,render-rndr,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,False,4.38,-0.03296703296703285,-0.020179372197309385,-0.045553145336225585,-0.14999999999999947,1717252300,60452535.0,,51,active,-0.039156508955471785,4.7459,-0.35389999999999944,-8.057832422586507,-35.19256308100929,RENDER/USDT
51,immutable-x,imx,Immutable,immutable-imx,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,False,1.089,-0.03185840707964585,-0.009090909090909097,-0.040350877192982304,-0.03599999999999981,1714172160,26057261.0,,52,active,-0.04225960301028093,1.1757499999999999,-0.08074999999999988,-7.374429223744282,-56.51310563939634,IMX/USDT
52,aave,aave,Aave,aave-aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,False,111.53,-0.014371894960965264,-0.007218607967204243,0.18976226172627972,-1.6200000000000045,1662474142,181765974.0,,53,active,-0.008969457705470599,103.49099999999999,6.869000000000014,6.224175425878954,16.869638885947253,AAVE/USDT
53,optimism,op,Optimism,optimism-op,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,False,1.34,0.0,-0.014705882352941188,0.015037593984962419,0.0,1593891738,136074699.0,,54,active,-0.008054092370882511,1.36085,-0.009849999999999914,-0.7290895632864481,-49.36281859070465,OP/USDT
54,whitebit,wbt,WhiteBIT Coin,whitebit-coin-wbt,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,False,10.59,-0.008434864104967185,-0.004703668861712202,0.031189083820662798,-0.08999999999999986,1525519591,3137146.0,,55,active,-0.01089725721551753,1.36085,-0.009849999999999914,-0.7290895632864481,-49.36281859070465,WBT/USDT
55,rocket-pool-eth,reth,Rocket Pool ETH,rocket-pool-eth-reth,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,False,2875.93,-0.028245784563876195,-0.015056216727302563,-0.002006918496232249,-83.69000000000005,1426429393,6461407.0,,56,active,-0.029500372259970018,1.36085,-0.009849999999999914,-0.7290895632864481,-49.36281859070465,RETH/USDT
56,arweave,ar,Arweave,arweave-ar,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,False,20.69,-0.0493827160493828,-0.013314312886352883,0.007755695588948141,-1.0800000000000018,1353881626,42748716.0,,57,active,-0.0565262791168041,22.045499999999997,-1.2154999999999987,-5.835333653384535,-53.48058154856288,AR/USDT
57,dogwifcoin,wif,dogwifhat,dogwifhat-wif,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,False,1.34,-0.05594405594405584,-0.02898550724637668,-0.2241379310344827,-0.07999999999999985,1341359634,394656673.0,,58,active,-0.060194507756876084,1.6163,-0.2723,-20.260416666666664,-55.70350351010184,WIF/USDT
58,the-graph,grt,The Graph,the-graph-grt,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,False,0.137401,-0.019796541490697407,-0.012403435018504584,-0.024604769037460845,-0.0027749999999999997,1312241890,33339246.0,,59,active,-0.01892418021495017,0.14545500000000003,-0.007255000000000039,-5.249638205499306,-60.23021582733813,GRT/USDT
59,mantle-staked-ether,meth,Mantle Staked Ether,mantle-staked-ether-meth,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,False,2688.04,-0.02615152897558998,-0.016996357399901827,-0.000672472469497223,-72.23000000000002,1307749174,8263416.0,,60,active,-0.02842991926927685,0.14545500000000003,-0.007255000000000039,-5.249638205499306,-60.23021582733813,METH/USDT
60,thorchain,rune,THORChain,thorchain-rune,https://coin-images.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,False,3.85,-0.04249999999999998,-0.007731958762886548,0.19687499999999997,-0.16999999999999993,1289824577,145720756.0,,61,active,-0.03531890614305764,3.5199000000000007,0.3690999999999991,9.490871689380281,-40.33445842282909,RUNE/USDT
61,bitget-token,bgb,Bitget Token,bitget-token-bgb,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,False,0.906812,-0.005384090308966114,-0.004237688405781213,-0.002422033915068352,-0.004913999999999974,1269333842,21807034.0,,62,active,-0.0046459399850501066,3.5199000000000007,0.3690999999999991,9.490871689380281,-40.33445842282909,BGB/USDT
62,helium,hnt,Helium,helium-hnt,https://coin-images.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,False,7.3,-0.06385696040868455,-0.025367156208277754,0.184168012924071,-0.5,1232770429,20266353.0,,63,active,-0.06841694992783164,3.5199000000000007,0.3690999999999991,9.490871689380281,-40.33445842282909,HNT/USDT
63,bonk,bonk,Bonk,bonk-bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,False,1.72e-05,-0.04352617079889812,-0.023282226007949904,-0.11788617886178869,-7.900000000000009e-07,1195685403,121468723.0,,64,active,-0.052148313880162174,1.99705e-05,-2.740500000000002e-06,-15.90539756239119,-46.788140827671405,BONK/USDT
64,theta-token,theta,Theta Network,theta-network-theta,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,False,1.12,-0.026086956521738962,-0.01754385964912263,-0.034482758620689495,-0.029999999999999805,1122610161,15002169.0,,65,active,-0.02387764526763819,1.1747,-0.044700000000000184,-3.955752212389397,-54.213938411669375,THETA/USDT
65,renzo-restaked-eth,ezeth,Renzo Restaked ETH,renzo-restaked-eth-ezeth,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,False,2622.58,-0.023367009134545563,-0.014638261334578568,0.0024500716674629164,-62.75,1109182501,18797707.0,,66,active,-0.037285548576910396,1.1747,-0.044700000000000184,-3.955752212389397,-54.213938411669375,EZETH/USDT
66,floki,floki,FLOKI,floki-floki,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,False,0.00011231,-0.01964875673795869,-0.02453027139874742,-0.0696369636963697,-2.260000000000009e-06,1088386483,147416486.0,,67,active,-0.02393392086891694,0.00012513700000000002,-1.2567000000000017e-05,-11.163720351781128,-49.57670772676372,FLOKI/USDT
67,notcoin,not,Notcoin,notcoin-not,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,False,0.01058804,-0.03147039589516576,-0.017422776957549013,-0.0678478151218339,-0.0003440800000000001,1081628314,328234147.0,,68,active,-0.033055908220069416,0.01133,-0.0007600000000000003,-7.190160832544941,98.83370955605716,NOT/USDT
68,fantom,ftm,Fantom,fantom-ftm,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,False,0.380006,-0.019110862105912747,-0.0018268867330224856,0.12138054392934947,-0.00740200000000002,1065397493,168695430.0,,69,active,-0.018280777277129796,0.360175,0.026624999999999954,6.883402275077548,-54.11625148279953,FTM/USDT
69,pyth-network,pyth,Pyth Network,pyth-network-pyth,https://coin-images.coingecko.com/coins/images/31924/large/pyth.png?1701245725,False,0.277987,-0.007912357618587254,-0.01327614306562103,-0.03538279038792391,-0.0022179999999999978,1007742914,27603096.0,,70,active,-0.010213519154431588,0.286885,-0.008284999999999987,-2.97379755922469,-40.111779879621665,PYTH/USDT
70,jupiter-exchange-solana,jup,Jupiter,jupiter-jup,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,False,0.745351,-0.03830562549447615,-0.015159764971440818,-0.09660075070840397,-0.029728000000000088,1006223534,77721992.0,,71,active,-0.038938045456403156,0.8309300000000001,-0.08293000000000006,-11.086898395721933,-37.31668482359843,JUP/USDT
71,celestia,tia,Celestia,celestia-tia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,False,4.87,-0.05068226120857696,-0.014141414141414198,-0.10642201834862386,-0.2599999999999998,999326378,87439051.0,,72,active,-0.050398733584438984,5.2842,-0.3692000000000002,-7.511698880976605,-48.69519832985386,TIA/USDT
72,algorand,algo,Algorand,algorand-algo,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,False,0.118709,-0.0025418396879326502,-0.013854971343134835,0.007652607225484853,-0.0003030000000000116,977150466,24235224.0,,73,active,-0.006623367434978376,0.11944999999999999,-4.9999999999980616e-05,-0.041876046901156296,-35.70274636510501,ALGO/USDT
73,jasmycoin,jasmy,JasmyCoin,jasmycoin-jasmy,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,False,0.02004564,-0.03637595326794798,-0.014601126997609166,-0.035831036595624914,-0.0007549799999999988,971215349,62629500.0,,74,active,-0.03622322184895614,0.0219635,-0.0018435000000000014,-9.16252485089464,-5.197191725957687,JASMY/USDT
74,ondo-finance,ondo,Ondo,ondo-ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,False,0.662781,-0.059424466346405865,-0.01427133377048416,-0.11361283471035735,-0.041921999999999904,956900376,69116809.0,,75,active,-0.06341638263687488,0.7432049999999999,-0.07910499999999987,-11.911609697334718,-28.881987577639745,ONDO/USDT
75,gatechain-token,gt,Gate,gate-gt,https://coin-images.coingecko.com/coins/images/8183/large/gate.png?1696508395,False,7.29,-0.013586956521739203,-0.0013698630136986009,0.028328611898017025,-0.10000000000000053,950212309,1517291.0,,76,active,-0.010677893581440553,0.7432049999999999,-0.07910499999999987,-11.911609697334718,-28.881987577639745,GT/USDT
